,126565,176158,6505803,5311497,11667893,5278396,300471,10184653,24776445,24180719,10077147,11327430,10459196,16720766,11488320,156422,11624601,51042438,24737642,10384072,11433190,208908,1401,9914412,24771867,56649450,46930998,5330286,51001932,57345410,11977753,17755052,25262965,9826528,24866313,10127622,9927531,2155128,3899,2314623,11404337,9938202,25227847,46883536,3385,68947304,11634725,16224745,3062316,36314,4261,11626560,118704762,216239,11364421,46926973,60838,5310940,117072552,51000408,25124816,5494449,59472121,72200024,42623951,49847690,53469448,78243717,24753719,57519544,46943432,9936746,71268957,60167849,59473233,44462758,44631912,71299339,1018,51371303,52918385,11609586,44137675,42642645,46907787,11455910,71271629,54685215,9956119,56962337,176870,9931953,24958200,24856436,46926350,60750,387447,16095342,9858940,2733526,104741,56962336,44632017,637858,6914657,9813758,25099184,51039095,24821094,70983932,46236925,11655119,35397514,2802462,73555129,462382,11707110,44462760,5394,5460769,49846579,11228183,46843057,56645356,78209992,54761306,52913813,71496458,9933475,24788740,56941241,70676303,68107965,91668541,10385095,227681,9825149,46931953,68289010,992586,2984337,11178236,71297207,104842,2375,25126798,11640390,41867,2907,24360,6710780,84691,6253,148124,126941,444795,123631,24978538,5311,644241,44182295,6918289,23725625,11960529,5328940,216326,6450551,11152667,9943465
ACH-000655,0.812129,4.637911,0.63951,-2.587732,5.972451,5.718763,,1.857086,5.110894,4.990863,,4.252029,,1.527268,4.387899,5.087093,5.502396,4.452633,5.254628,3.044659,6.492789,4.086126,4.200543,3.586314,1.223707,4.467967,3.73446,4.898682,2.788018,6.045261,-0.468857,2.188399,0.863816,3.39196,3.359203,4.906826,4.3547,2.533434,5.298367,6.03347,0.604621,3.869864,2.393474,5.537355,6.625184,3.918856,5.093731,3.026915,1.521252,-3.237313,1.784395,3.175411,3.940669,2.840967,0.838099,4.804185,2.296121,3.350234,4.63292,4.717392,4.829075,,4.130124,4.033405,5.276076,2.331732,3.803234,5.982389,3.849781,4.171766,4.98947,4.631933,3.2629,4.701675,3.812141,3.741592,3.815706,5.095504,5.653081,,6.807911,5.348747,,1.70689,4.832416,,4.916897,,,2.270075,2.994686,5.023772,4.3641,1.600925,-2.78564,-2.7123,-4.712936,,,5.17812,3.277327,6.251388,3.104874,,,3.457091,2.354236,2.721679,5.953357,6.052582,-1.150594,4.602583,4.638103,5.331235,4.576191,-1.554494,2.190655,6.07574,7.656902,2.697334,3.654386,3.706565,4.196929,5.962621,3.49727,3.598486,4.84679,3.171682,3.946989,4.793428,5.697074,1.579833,5.078309,5.859508,1.144545,6.313293,2.995719,4.182327,2.49998,3.663301,5.171508,-6.051875,4.083537,-4.309603,,5.055793,5.235029,-0.49578,4.842215,-3.039969,-4.119321,2.309489,2.574072,-4.106677,-2.327864,,3.381182,5.192491,1.923807,4.648317,3.665646,1.605002,4.123727,5.450762,2.734377,6.039525,3.294947,0.702486,4.259851
ACH-000403,0.471861,3.739233,-1.026908,-1.859531,6.630016,5.70876,,1.350956,6.575288,6.788903,,4.370832,,2.576992,2.108067,5.907628,5.512845,0.592099,4.000741,3.689186,7.258145,2.373072,4.530404,2.469366,2.662515,2.134442,2.586971,4.12152,0.997581,5.975916,-1.832683,1.076495,-0.914998,-2.79156,-0.797768,0.63145,6.368803,4.193624,5.123964,6.657455,-0.193218,4.195452,4.821277,5.686911,4.979016,6.015706,1.374275,5.176198,-0.139873,0.830158,2.98601,2.796516,5.912198,3.145079,0.812,6.401495,5.393326,4.765558,5.490787,5.344874,5.041253,,4.943603,3.22672,5.580378,2.828363,5.600726,5.710757,6.10648,5.917151,2.060701,1.748069,2.136878,5.182889,4.954128,2.804418,4.072822,4.759155,6.357458,,5.421894,4.9737,,1.534806,1.082136,,2.717179,,,2.712756,1.021039,5.927292,4.382941,1.04882,-1.50597,1.809953,-4.715473,,1.558907,3.46736,3.857932,6.598383,3.885482,,,3.384876,2.412524,3.636322,5.034525,6.478891,0.429742,6.16565,4.707008,4.968186,4.338343,-1.394869,-3.846814,6.955315,8.283369,2.506495,3.406815,1.645435,1.328282,5.980064,1.830478,4.513191,2.462493,0.561993,1.638849,1.83153,5.494732,-0.35447,5.726451,4.851757,-0.003314,7.369768,1.91123,5.396042,3.416688,2.154273,2.15635,-5.781672,1.153191,3.627931,,6.13089,2.906827,0.065887,5.192413,-0.704139,-0.699987,5.569773,3.299306,-1.684579,0.438762,,2.301677,2.161504,1.670841,5.678898,-0.067088,2.359849,5.663151,6.671577,3.425916,6.175048,5.131471,1.786151,4.376563
ACH-000007,0.024441,3.048123,-1.886624,-3.521728,5.775309,5.775309,,-0.259734,4.616114,5.060211,,3.189255,,,1.634124,5.35352,5.540519,1.28726,5.528602,,1.406242,1.37076,3.514301,1.744665,0.25052,3.180765,0.824578,1.209893,0.327674,5.133465,,0.296864,-0.138152,-3.224086,0.024482,-0.7312,,3.441628,5.065966,5.698212,0.521782,3.170517,,4.887107,1.742438,,-0.154789,,2.264065,,1.350856,1.277685,4.729262,,-0.877715,4.447995,1.813011,1.200548,4.441317,2.798011,4.405936,,1.942905,3.224961,4.956259,4.829677,3.552131,5.737934,3.487065,5.417568,3.169127,2.015937,3.158856,4.24133,4.500123,2.476106,1.62957,4.47839,4.748499,,3.392785,3.282957,,,1.464482,4.467028,4.402877,,,1.776863,,3.004406,3.769896,-0.595952,-2.886744,-3.243612,,,1.328481,,,5.859496,,,-3.855835,2.135081,2.629074,3.99813,4.813731,5.658243,-0.200939,4.92314,4.4166,5.071992,4.124174,-1.429434,-5.07196,4.404782,7.248506,1.510962,,,,,1.446812,,,,,,,,,,,4.312625,,,,,,,3.719036,-4.489221,,5.222221,1.593206,,,-3.160246,,2.919147,,-4.631399,-0.864728,,,2.150489,,,-1.83118,0.224156,3.813458,5.030822,3.329184,5.504545,2.513083,0.715533,3.981601
ACH-000680,0.082441,6.417352,-0.783764,-4.220663,6.036564,5.823097,,1.991192,5.648624,4.353862,,2.64493,,3.400431,5.626461,6.04924,6.038867,1.282521,6.01235,0.922577,6.362884,5.095517,4.60011,0.322547,-1.779648,2.349129,1.83074,4.045131,-0.129392,6.696442,-2.340048,0.492428,-1.320921,-1.231857,1.101924,1.913252,6.349393,2.634695,6.38343,,2.195947,3.396351,5.873447,5.821395,4.463236,6.097625,1.485397,4.733766,3.571891,-3.552844,1.676431,1.220114,6.041843,3.689755,-3.138294,3.885605,1.39768,3.149122,4.797834,4.644927,5.653666,,3.922727,5.875255,6.050238,4.205319,4.483776,6.005394,5.9183,4.507744,3.693003,3.814923,3.645445,5.443635,4.716274,5.041225,4.310094,4.77025,3.877274,,6.942387,5.015042,,0.0502,2.711068,3.074305,5.935233,,,2.069288,5.006289,4.495678,4.999296,-0.135685,-0.679866,3.933382,-4.836992,,2.6383,4.847397,4.310683,6.321699,1.59925,,-4.550119,3.575976,4.521433,3.335971,5.965032,5.66747,2.190274,6.021941,3.93917,3.616635,5.491277,-1.86385,-2.63773,4.195583,6.497638,3.943414,3.102093,1.57355,1.262671,6.053638,4.001485,1.902952,4.359892,3.396377,2.244095,2.219832,5.707114,-0.27523,6.241444,6.110018,2.52807,6.320351,3.203117,6.404039,1.086558,5.655362,5.411227,-0.663489,6.041625,-3.825828,,5.211573,3.670316,2.125008,5.867032,-2.161689,-4.299561,3.470346,2.212349,-5.168137,3.003488,,4.370711,-0.174247,1.052402,5.020491,0.361693,0.605191,5.083873,5.333903,3.591563,5.97585,0.859862,-0.019826,3.040509
ACH-000776,0.18168,5.458966,3.142571,-3.997117,5.951948,5.951948,,2.020209,4.94308,3.798371,,3.101524,,0.708482,6.153529,4.520119,5.554409,3.281039,5.362092,2.148745,4.62014,4.431822,4.356709,2.52557,2.15442,5.457714,3.800602,3.188595,4.219279,6.213147,-1.996792,3.661613,-1.621878,-1.943372,-0.970217,0.988783,5.259097,3.357674,5.281021,5.080222,1.021053,3.639542,1.712659,5.946469,3.290477,5.682159,0.923058,1.620805,1.511262,-3.274017,2.774354,2.823098,5.833893,3.468999,0.392967,5.111032,2.885529,2.55647,4.177862,2.53959,4.596414,,2.588351,3.788478,5.453057,2.045172,3.203519,5.160388,4.072038,4.223538,3.575727,2.030475,2.44379,4.380932,3.727513,3.090762,2.899622,5.27074,5.250353,,4.026467,5.307413,,1.556941,2.785921,2.055772,3.56862,,,2.131271,3.592463,3.912926,4.603732,0.40379,-2.995975,-0.894944,-5.122766,,,5.009179,3.198007,5.68443,2.75707,,-5.222444,2.818839,2.253075,4.456252,5.932415,5.951948,-0.706051,5.940471,5.210658,5.92552,5.596165,-2.067296,-4.137035,4.523242,6.70838,4.441994,3.469401,3.035622,2.892306,5.285137,3.36043,0.415921,5.630235,2.678233,2.419456,4.135194,5.527627,1.264133,5.207603,5.211438,-0.026355,6.147131,4.873392,5.9494,3.370265,2.863043,4.903331,-4.722215,4.357531,-2.457346,,5.640271,4.959338,-0.738195,5.727824,-2.026524,-3.704992,2.566944,3.26662,-5.331052,,,4.014091,2.951159,2.157965,4.537036,-0.845491,1.41766,5.091378,5.663111,3.834828,5.803572,2.806011,-1.311698,3.769414
ACH-000475,-0.583864,5.773936,-1.954067,-1.866751,6.333441,6.19867,,2.421281,5.710785,3.922488,,3.042209,,2.58347,5.045495,6.203945,5.951281,3.574975,5.049005,3.15174,6.116963,3.5983,3.27667,2.20049,2.231612,3.472693,3.540454,4.022335,1.875126,5.932336,0.695008,1.281197,-0.306546,2.883794,3.733701,4.902975,5.863886,2.855014,4.711121,4.881428,-0.062509,3.731622,5.442132,5.405868,6.258764,6.015434,3.927883,4.956784,3.591847,-0.217217,2.595514,2.523445,6.016972,2.807222,-1.780736,4.250433,3.954922,5.213668,5.578772,5.391053,3.827526,,1.355641,4.007375,5.050511,4.994739,3.330456,5.479296,5.009409,3.197168,4.124145,3.122453,3.735357,5.149814,2.196591,3.267494,3.061317,4.902179,4.987747,,6.863174,4.144125,,0.498841,3.266976,,5.782338,,,2.270728,4.00378,5.248903,4.66872,0.447518,-2.157745,-0.354763,-3.563582,,,4.499767,3.891228,5.835869,3.675702,,,2.284895,1.023605,2.984388,5.435413,6.333441,1.533575,4.623405,4.389136,4.226775,1.524051,0.626409,1.860348,5.722155,7.893332,4.816758,3.242938,2.763473,3.92065,5.760661,3.495162,2.648791,3.383712,3.853212,3.416329,6.284384,6.054807,1.55379,5.717156,6.234351,3.205626,5.535262,2.697514,5.851771,2.533243,5.709379,4.276124,-0.472535,6.140764,-2.950041,,4.791995,2.288992,3.160634,5.805474,-1.479632,-2.287314,3.517396,2.928247,-3.220355,2.177254,,4.271344,3.660702,1.985135,4.318839,3.477416,2.011563,5.532116,5.619081,2.870686,5.900764,2.489635,1.139979,4.419161
ACH-000969,-3.262492,6.147652,-1.563682,-5.058474,5.613863,4.900034,,1.29259,4.575754,5.450307,,2.996226,,-0.693808,5.774684,3.588412,5.345867,5.328653,5.708155,1.032042,6.259171,2.729794,5.255658,2.330886,0.883592,5.546709,2.672373,0.566926,2.22826,5.584876,-2.392994,1.640632,-1.638927,-1.487983,0.20828,0.814425,4.486767,2.06675,4.483873,5.442869,0.530986,3.935878,2.31716,5.215292,2.714481,5.357161,0.836213,3.927867,4.622603,-4.192134,2.119326,-0.721538,4.711679,1.883061,-2.09081,4.451426,3.491217,3.647496,4.943071,3.967535,5.249761,,1.418885,2.707289,5.614153,1.98236,0.900691,5.587071,4.321075,4.747595,1.919082,1.568281,2.618017,4.765251,0.920019,1.028952,3.14209,3.777147,5.693758,,6.542455,4.103508,,-2.337674,2.065804,,3.368088,,,1.943651,2.406261,3.666331,5.369195,-0.799504,-3.621221,-0.964625,-5.620285,,2.899302,2.815214,3.663964,5.289332,0.912433,,,5.31691,5.743758,-1.59385,4.698902,5.748572,-1.714451,2.804315,5.489909,4.853062,2.259665,-1.731954,-2.623753,3.023985,6.757289,2.943051,1.665358,1.450833,-0.429049,3.94181,2.412948,1.520831,5.480844,2.580619,2.34631,1.444912,5.174005,0.357007,5.59648,4.881539,0.418217,5.776114,2.248619,3.298299,1.212036,3.036716,3.477512,-3.249777,5.311909,-2.883226,,5.141954,4.623886,-2.462893,5.264887,-2.014425,-5.658832,3.37156,0.619816,-5.153757,-2.811293,,3.073887,2.360851,1.400323,3.193355,-0.208726,0.945294,4.521025,5.730141,0.483479,5.585202,1.970563,-2.256264,0.070657
ACH-000983,-1.239119,4.831101,-1.573333,-5.175426,4.102341,3.523912,,1.279034,4.688498,3.886798,,0.92864,,-1.217789,4.369237,4.83669,4.764283,2.469986,4.729204,1.498007,3.778804,3.602837,3.792321,0.91492,2.205293,3.170876,1.926423,1.528927,2.689904,4.430789,-3.202196,1.109311,-1.501546,-0.636047,1.208381,2.366657,4.158278,1.409066,3.483862,4.564493,-0.54083,2.792966,3.41308,3.534498,3.1401,3.724233,1.898324,1.27806,-7.02181,-4.174946,0.912925,0.348171,4.371463,1.892001,-3.219616,3.104427,2.202622,2.476413,3.598234,1.242475,3.064595,,1.562326,3.729698,4.728047,-4.419683,1.963445,4.676117,2.995565,4.175039,1.986649,0.938635,2.155173,3.628648,2.303468,2.315224,2.301693,2.252509,3.386447,,2.286241,1.679513,,-0.584888,-0.595371,,4.179234,,,2.140483,2.149432,2.460546,2.653533,-0.56528,-3.80865,-3.442252,-5.610416,,,3.304807,2.371827,4.452817,0.607486,,,1.367206,0.357455,0.327386,2.872119,4.167369,0.261672,4.713591,3.609685,4.725804,1.810427,-1.937504,-1.121268,2.784181,5.531208,1.891745,2.16913,0.572373,2.544687,3.798148,2.374022,0.051957,4.085094,2.093837,1.857121,3.504732,4.834291,0.884889,4.83669,3.556975,-0.213439,4.899216,2.334325,3.504684,0.989437,2.902583,2.817658,-3.466025,3.414658,-4.327504,,3.154465,3.096779,-1.858357,4.284323,-3.023604,-6.098558,1.358745,-2.036061,-5.816595,-3.375566,,3.201199,0.703888,0.754873,-3.914426,0.234944,-0.603044,3.264486,4.607863,-2.823068,3.703641,-0.641167,-1.521045,2.883572
ACH-000372,,4.528562,,-5.698383,,3.963473,,0.301385,,3.17775,,,,-1.757148,3.223631,4.528789,4.541056,1.138538,4.00944,-0.033649,3.264133,1.801852,2.17641,,-3.239084,2.305329,0.381873,-0.172035,1.30097,4.451165,-2.833425,1.057084,0.402523,0.649352,1.842346,,4.540893,2.133026,3.324495,,-1.454771,,1.877156,,3.756262,3.173845,2.377099,0.451384,1.785647,-4.951134,-0.503319,0.540399,3.704913,0.883999,,2.797404,-0.687895,1.181192,3.310083,2.058839,2.249372,,-0.082735,2.463368,2.538445,0.686664,1.668757,3.653954,1.424697,3.743562,0.603679,-0.804282,0.997715,3.28311,2.37985,1.780153,1.455445,2.76997,4.110335,,1.630277,,,-0.857819,,,3.888488,,,1.436897,1.998446,,1.713584,-1.061082,-3.661481,-4.690472,-6.247577,,,1.891999,2.495424,4.240103,0.665007,,,2.118697,-0.235976,1.339759,3.400099,,-2.262253,4.541056,3.588078,4.540302,2.651892,-2.421503,0.501925,3.132823,4.28246,,0.243194,-1.673246,0.742976,3.248925,2.719386,-0.480567,2.858795,0.341511,1.153933,1.189889,3.86881,0.026354,4.076122,3.422874,-1.060582,0.796407,1.318968,1.085995,1.167916,1.675263,1.850359,-2.900862,-2.868196,-6.408207,,3.997794,3.130562,-3.783644,4.896541,-4.972176,-6.172352,0.36525,-4.279194,-6.023764,,,3.140616,-1.788585,-0.761638,1.485563,,,2.747644,,,,0.677514,-1.521389,1.492346
